Ano,Área de Avaliação,Grau Acadêmico,Organização Acadêmica,Categoria Administrativa,Modalidade de Ensino,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Conceito Enade (Faixa)
2023,ENGENHARIA ELÉTRICA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,45,34,2
2023,MEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,172,163,3
2023,ARQUITETURA E URBANISMO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,59,48,2
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,32,24,4
2023,ENGENHARIA DE PRODUÇÃO,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,11,9,2
2023,FONOAUDIOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,22,18,3
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,57,46,3
2023,FISIOTERAPIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,20,13,3
2023,ODONTOLOGIA,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,65,45,3
2023,TECNOLOGIA EM ESTÉTICA E COSMÉTICA,Tecnológico,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,26,21,3
2023,ENGENHARIA CIVIL,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,60,47,3
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Privada com fins lucrativos,Educação Presencial,Porto Velho,RO,92,76,3
2023,MEDICINA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,85,84,3
2023,ENFERMAGEM,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,15,9,4
2023,MEDICINA VETERINÁRIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,42,41,3
2023,FARMÁCIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,17,15,3
2023,BIOMEDICINA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,7,5,3
2023,FISIOTERAPIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,13,12,3
2023,AGRONOMIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,23,15,3
2023,ODONTOLOGIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,10,10,3
2023,NUTRIÇÃO,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,6,5,2
2023,ZOOTECNIA,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,6,6,3
2023,ARQUITETURA E URBANISMO,Bacharelado,Centro Universitário,Privada sem fins lucrativos,Educação Presencial,Porto Velho,RO,12,10,3
2023,ENGENHARIA ELÉTRICA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Porto Velho,RO,36,27,3
2023,ENFERMAGEM,Bacharelado,Universidade,Pública Federal,Educação Presencial,Porto Velho,RO,17,15,5
2023,MEDICINA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Porto Velho,RO,14,14,4
2023,ZOOTECNIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Presidente Médici,RO,18,18,1
2023,MEDICINA VETERINÁRIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rolim de Moura,RO,42,37,3
2023,FARMÁCIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,21,19,2
2023,FISIOTERAPIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,16,11,3
2023,ENFERMAGEM,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,28,19,3
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,16,15,2
2023,ENGENHARIA AMBIENTAL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,1,0,SC
2023,ODONTOLOGIA,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,17,17,3
2023,ENGENHARIA CIVIL,Bacharelado,Faculdade,Privada com fins lucrativos,Educação Presencial,Rolim de Moura,RO,15,14,2
2023,AGRONOMIA,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rolim de Moura,RO,32,31,4
2023,ENGENHARIA FLORESTAL,Bacharelado,Universidade,Pública Federal,Educação Presencial,Rolim de Moura,RO,22,20,3
